1,816,828.6,815,827.6,
2,820.5,821.5,814.56,815.56,
3,815.17,816.17,807.01,808.01,
4,827.78,828.78,812.63,813.63,
5,790.35,800.17,789.35,799.17,
6,780,804.33,779,803.33,
7,820.83,821.83,789.96,790.96,
8,827,828,808.41,809.41,
9,790.51,812.29,789.51,811.29,
10,793.77,820.42,792.77,819.42,
11,777.21,781.04,776.21,780.04,
12,776.5,783.58,775.5,782.58,
13,789.79,790.79,767.21,768.21,
14,701,762.19,700,761.19,
15,755,756,700.32,701.32,
16,855.19,856.19,780.88,781.88,
17,790.17,801.51,789.17,800.51,
18,795.64,796.64,768.12,769.12,
19,737.61,799.75,736.61,798.75,
20,710.81,726.15,709.81,725.15,
21,727.6,728.6,704.63,705.63,
22,703.98,733.11,702.98,732.11,
23,730.12,731.12,685.72,686.72,
24,732.7,747.36,731.7,746.36,
25,772.28,773.28,752.89,753.89,
26,716.94,746.21,715.94,745.21,
27,742,743,728.83,729.83,
28,698.97,710.89,697.97,709.89,
29,590.16,651.95,589.16,650.95,
30,562.09,574,561.09,573,
31,554.2,555.2,547.84,548.84,
32,545,546.45,544,545.45,
33,511.2,517.24,510.2,516.24,
34,509.5,510.5,479.01,480.01,
35,481.03,482.03,453.47,454.47,
36,504,505,480.56,481.56,
37,501.25,525,500.25,524,
38,510.26,511.26,501.13,502.13,
39,505,515.36,504,514.36,
40,547.39,548.39,527.16,528.16,
41,545.25,546.25,538.25,539.25,
42,477.3,506,476.3,505,
43,433.6,435.29,432.6,434.29,
44,438.2,439.2,426.53,427.53,
45,374.7,428.64,373.7,427.64,
46,389,390,360.22,361.22,
47,440.01,441.01,429.2,430.2,
48,469.5,470.5,444.07,445.07,
49,595,596,545.62,546.62,
50,580.89,581.89,559.55,560.55,
51,640.2,641.2,633.23,634.23,
52,659.43,660.43,644.33,645.33,
53,605.39,609,604.39,608,
54,690,704.48,689,703.48,
55,723.77,725.54,722.77,724.54,
56,763.96,764.96,748.5,749.5,
57,805,806,744.51,745.51,
58,711.26,744.62,710.26,743.62,
59,743.62,744.62,742.62,743.62,
