56.68,54.65,
56.55,56.39,
54.39,55.47,
54.98,54.59,
53.32,54.2,
52.1,54.51,
54.04,52.18,
56.21,53.76,
52.9,55.74,
52.15,53.19,
52.93,51.95,
52.42,52.16,
53.43,52.19,
49.82,52.56,
51.07,49.88,
53.43,52.39,
54.53,53.66,
57.16,55.51,
57.44,56.49,
55.1,56.18,
56.65,55.9,
54.91,55.92,
56.9,52.92,
55.98,56.97,
57.35,56.6,
55.96,56.95,
53.73,54.99,
52.24,54.93,
48.47,50.94,
49.65,48.38,
48.07,48.79,
48.96,47.56,
44.3,47.52,
44.3,42.59,
43.4,44.49,
44.18,43.66,
47.93,45.48,
47.24,47.86,
46.32,46.58,
45.78,47.5,
46.79,44.63,
44.04,46.22,
40.62,41.64,
41.51,39.61,
39.56,39.82,
39.54,39.12,
40.19,41.88,
39.08,38.71,
42.2,43.9,
42,39.01,
44.19,45.7,
45.41,45.38,
43.03,43.27,
49.44,48.59,
48.68,48.11,
48.25,50.11,
49.03,46.75,
47.42,47.46,
